Nom,Nombre de parties gagnées,Pourcentage de parties gagnées(%),Nombre d'égalités,Pourcentage d'égalités(%),Nombre de parties perdues,Pourcentage de parties perdues(%),Score moyen
RobotDiscret2,232,23.199999,43,4.3,725,72.5,22.345
RobotDiscret3,247,24.699999,42,4.2,711,71.100006,22.541
RobotDiscret4,225,22.5,43,4.3,732,73.2,22.374
Stacy,496,49.6,42,4.2,462,46.2,23.041
Richardo,163,16.300001,38,3.8,799,79.9,19.41
Sara,164,16.4,36,3.6,800,80.0,18.343
Alban,112,11.200001,18,1.8,870,87.0,17.897
RobotDiscret1,212,21.199999,50,5.0,738,73.799995,22.518
RobotDiscret2,251,25.099998,41,4.1,708,70.8,22.655
RobotDiscret3,222,22.2,41,4.1,737,73.7,22.214
RobotDiscret4,225,22.5,54,5.4,721,72.1,22.401
Stacy,609,60.9,40,4.0,351,35.100002,23.978
Richardo,120,12.0,33,3.3,847,84.7,18.311
Sara,119,11.900001,16,1.6,865,86.5,17.22
Alban,97,9.700001,23,2.3,880,88.0,17.351
RobotDiscret1,252,25.2,39,3.9,709,70.9,22.445
RobotDiscret2,207,20.7,59,5.9,734,73.4,22.327
RobotDiscret3,231,23.1,47,4.7,722,72.2,22.508
RobotDiscret4,217,21.699999,53,5.2999997,730,73.0,22.345
Stacy,593,59.3,49,4.9,358,35.8,23.566
Richardo,131,13.099999,34,3.4,835,83.5,18.528
Sara,116,11.599999,25,2.5,859,85.9,17.21
Alban,97,9.700001,21,2.1,882,88.200005,17.276
RobotDiscret1,214,21.4,48,4.8,738,73.799995,22.13
RobotDiscret2,240,24.0,43,4.3,717,71.7,22.402
RobotDiscret3,222,22.2,45,4.5,733,73.299995,22.049
RobotDiscret4,236,23.6,46,4.6,718,71.8,22.35
